Ensembl_gene	Cancer_type	Gene_name	Driver in the same cancer	Driver in other cancer	Prognostic in the same cancer	Prognostic in other cancer	freq
ENSG00000141510	TCGA-OV	TP53	1	1	1	1	599
ENSG00000121879	TCGA-UCEC	PIK3CA	1	1	1	1	512
ENSG00000171862	TCGA-UCS	PTEN	1	1	0	1	466
ENSG00000055609	TCGA-OV	KMT2C	1	1	0	0	447
ENSG00000168702	TCGA-OV	LRP1B	1	1	0	0	441
ENSG00000117713	TCGA-OV	ARID1A	1	1	0	0	433
ENSG00000196712	TCGA-OV	NF1	1	1	0	1	379
ENSG00000133703	TCGA-UCEC	KRAS	1	1	0	1	362
ENSG00000149311	TCGA-PAAD	ATM	1	1	0	1	351
ENSG00000139687	TCGA-OV	RB1	1	1	0	1	342
ENSG00000213281	TCGA-UCEC	NRAS	1	1	0	1	341
ENSG00000147889	TCGA-SARC	CDKN2A	1	1	0	1	319
ENSG00000157764	TCGA-OV	BRAF	1	1	1	1	295
ENSG00000181555	TCGA-SARC	SETD2	1	1	0	0	280
ENSG00000163930	TCGA-UVM	BAP1	1	1	1	1	267
ENSG00000115524	TCGA-UVM	SF3B1	1	1	1	0	265
ENSG00000196159	TCGA-TGCT	FAT4	1	1	0	0	262
ENSG00000198793	TCGA-BRCA	MTOR	1	1	0	0	253
ENSG00000083857	TCGA-UCEC	FAT1	1	1	0	0	251
ENSG00000167548	TCGA-UCEC	KMT2D	1	1	0	1	250
ENSG00000174775	TCGA-THYM	HRAS	1	1	0	1	249
ENSG00000127616	TCGA-LGG	SMARCA4	1	1	0	1	223
ENSG00000163939	TCGA-UCEC	PBRM1	1	1	0	0	210
ENSG00000125952	TCGA-UCEC	MAX	1	1	0	0	204
ENSG00000189079	TCGA-LGG	ARID2	1	1	0	0	197
ENSG00000165323	TCGA-BRCA	FAT3	1	1	0	0	190
ENSG00000145675	TCGA-UCEC	PIK3R1	1	1	0	1	188
ENSG00000109670	TCGA-STAD	FBXW7	1	1	0	1	183
ENSG00000186575	TCGA-OV	NF2	1	1	0	0	182
ENSG00000146648	TCGA-LUAD	EGFR	1	1	0	1	178
ENSG00000171456	TCGA-KIRC	ASXL1	1	1	0	0	177
ENSG00000257923	TCGA-GBM	CUX1	1	1	0	0	173
ENSG00000065526	TCGA-KIRC	SPEN	1	1	0	0	168
ENSG00000140836	TCGA-BRCA	ZFHX3	1	1	0	0	163
ENSG00000147050	TCGA-KIRP	KDM6A	1	1	0	0	162
ENSG00000141736	TCGA-OV	ERBB2	1	1	1	1	160
ENSG00000152217	TCGA-PCPG	SETBP1	1	1	0	0	157
ENSG00000101972	TCGA-KIRC	STAG2	1	1	0	1	155
ENSG00000173674	TCGA-UCEC	EIF1AX	1	1	0	1	155
ENSG00000148400	TCGA-OV	NOTCH1	1	1	0	0	153
ENSG00000129204	TCGA-BRCA	USP6	1	1	0	0	151
ENSG00000142208	TCGA-UCEC	AKT1	1	1	0	1	150
